WKT,Name,SHAPE_Leng,SHAPE_Area
"MULTIPOLYGON (((-148.719635669129673 68.697828316713498,-148.718755077655373 68.52558260464734,-149.227942682442603 68.524085836602708,-149.23244399214235 68.495309672926808,-149.344980137229129 68.495571041530255,-149.349213257169907 68.489229124385147,-149.383396476970603 68.488747432802739,-149.383478191235582 68.466309897012891,-149.346796165674789 68.465929776060591,-149.346357457742329 68.438116640400594,-149.192599315999502 68.437507555452115,-149.191625745232585 68.353821003582766,-149.581310799634167 68.355656602954383,-149.60388038161372 68.387424344637523,-149.634920176370343 68.398593272014878,-149.613464771820276 68.412183726952478,-149.63666151438008 68.421590851860515,-149.626974105855084 68.438955960700099,-149.65934400723566 68.439016258919636,-150.128410499046311 68.438868328346985,-150.128354424220845 68.353739988944028,-152.238114961059864 68.355844584422414,-152.238406439058423 68.395569927244566,-152.47285873563203 68.395780643335527,-152.47283724221495 68.366970750105423,-152.512030773731311 68.367022104988735,-152.512018319542193 68.356040601638739,-152.785456086626056 68.355812484271951,-152.785601374869714 68.395741213449497,-152.942029664841755 68.395581580455058,-152.942191498678 68.482220729539875,-153.529065390952468 68.482155777573126,-153.528711905517838 68.43888128852457,-153.645496163331188 68.43890924189887,-153.645391410152769 68.381203432603272,-153.876913976666884 68.38113566944493,-153.864675980155653 68.757157709009064,-150.378287104108466 68.7571474680487,-150.378518815207968 68.88699582655552,-148.899945484689795 68.886992163263685,-148.90158726889365 69.088975439401125,-147.813627918230367 69.088972458572286,-147.814576482297895 69.045443898834549,-148.431000890291841 69.044989336646992,-148.431553389584309 68.783941523732011,-148.472802147196973 68.771028350632207,-148.512320554166223 68.769784739088806,-148.513881515923828 68.756313155090481,-148.551024014371421 68.75687373724648,-148.555030904116734 68.743381191480509,-148.58955475952817 68.742164277227104,-148.591067669107218 68.728692392676493,-148.630504106898655 68.727420449649671,-148.631925444037336 68.713052546748656,-148.668932122763692 68.712690967170033,-148.670327760540033 68.698323552435625,-148.719635669129673 68.697828316713498),(-153.060485852745927 68.583339031353674,-153.060559648850017 68.568883861224492,-152.942173511787246 68.568783205838557,-152.941623741383324 68.525555865928922,-152.864699760079077 68.525514773001206,-152.864542599203702 68.482328433522468,-152.472834200195337 68.48245442374423,-152.473190145332495 68.612154159386762,-152.70729875324534 68.612165521426888,-152.707598339671193 68.655405283720825,-153.061140331750721 68.65540950915674,-153.060485852745927 68.583339031353674)),((-146.056650978575647 69.313873052907624,-146.046903144609928 69.304849959190022,-146.924191096513141 69.304760111341935,-146.926577154344244 69.348703646721219,-147.002795070267723 69.34871830684888,-147.167936892645628 69.348635041775694,-147.16759542521055 69.304692184923894,-147.408462624745823 69.304290358131368,-147.409386760200192 69.219087400739994,-147.651825034579929 69.218340735084809,-147.651772659311149 69.132240490952512,-147.81271650878449 69.130657513016473,-147.813485661724826 69.095487746242469,-147.81147189397069 69.348655796397125,-146.201448620836061 69.348804644055633,-146.037502118330934 69.348660098402618,-146.06102034950041 69.3300395565564,-146.056650978575647 69.313873052907624)))",Upper Foothills,3319632.183329999912530,110884175606.000000000000000
"MULTIPOLYGON (((-149.200324046019659 70.148723369444269,-149.116981511651289 70.126672473559353,-148.967173365781775 70.122723847852015,-148.740181941247158 70.043506539934,-148.531320866578682 69.999923726071273,-147.743150377096981 69.955288922939459,-147.549602645010168 69.955344012698788,-147.276506367920092 69.905836740002798,-146.837268792204924 69.873945154153333,-146.398280968236008 69.889771350788067,-146.405122063549442 69.868821212410751,-146.432725728468512 69.868849828677185,-146.464285656992701 69.85639180420884,-146.464536549824629 69.84652748324298,-146.454296733274532 69.840218918712495,-146.452394838880451 69.813310513078235,-146.381294071892313 69.758369563536178,-146.306485114074775 69.749125051495383,-146.29883756508579 69.745507098780735,-146.301809693075427 69.733859468159878,-146.268368241685209 69.728344366944569,-146.26369402840831 69.713976465151887,-146.248379531444499 69.708529731867927,-146.264408406524836 69.693351079703575,-146.249488932884219 69.677143980306994,-146.26524569952079 69.669140973994558,-146.2481008489207 69.66121514026851,-146.32174481422868 69.595825898250183,-146.287174581660793 69.553536942173636,-146.31141316856781 69.517759424235578,-146.309517523157041 69.497126168825304,-146.322819178087656 69.481034227428196,-146.290274319988242 69.460277057761814,-146.267291900699774 69.460181902498022,-146.164837187683474 69.402321839259258,-146.051352649777527 69.376626226674546,-146.038916858935892 69.370277956649616,-146.032339424383309 69.350453947683164,-147.81147189397069 69.348655796397125,-147.813627918230367 69.088972458572286,-148.90158726889365 69.088975439401125,-148.899945484689795 68.886992163263685,-150.378518815207968 68.88699582655552,-150.378287104108466 68.7571474680487,-153.864675980155653 68.757157709009064,-153.881284296464429 69.022335562712925,-153.880861812531577 69.03097285635765,-153.872199262001715 69.030819978312564,-153.861460440275664 69.044255601322206,-153.821471630612422 69.05586563888771,-153.77108551974186 69.05526421962638,-153.748640571311711 69.07062840806357,-153.71578010197527 69.062355016150079,-153.650860139477743 69.081658824652891,-153.540471238574895 69.084534544840423,-153.491045919499015 69.100695208216095,-153.465423538467149 69.095345535481115,-153.401488071811656 69.10398247508337,-153.364771464796064 69.122099446919734,-153.329212147807283 69.119280124736562,-153.287820505351362 69.126982222456192,-153.236723809823758 69.153757820046607,-153.14587953749691 69.17080816189565,-153.100872414492983 69.19210856804942,-153.023859766962602 69.19006810641929,-153.014301065465389 69.194148690356556,-153.016067703104795 69.208528105274482,-152.976117501340042 69.216170934010208,-152.957689773811182 69.227651585207255,-152.794688768292872 69.249649160666337,-152.740012778517354 69.265073706302715,-152.512939184508326 69.277616628155272,-152.511352314457667 69.288123693086987,-152.495684707157778 69.296357610060966,-152.44424245988418 69.301181190426036,-152.221582007394176 69.349367750659056,-152.174936646713377 69.344981837655581,-152.07327601515658 69.382572514737348,-151.904849787324054 69.389330540583884,-151.883050079124416 69.402802305199685,-151.806237535381285 69.411014512119593,-151.744565282498741 69.427017877463726,-151.624022109504267 69.425622312212823,-151.553237767650558 69.437121039827844,-151.526529351972073 69.463772217608081,-151.500836823354945 69.473353686992226,-151.499564000185813 69.483679791380482,-151.513616230934758 69.490717527326836,-151.46170751469802 69.515464584514589,-151.489130714364705 69.545353677401636,-151.464227220725093 69.581424373188355,-151.470215277802282 69.597390683629243,-151.45415753653586 69.625056613325555,-151.491302765104564 69.646491688758758,-151.501800403218226 69.676575121237079,-151.526935880003663 69.704450703319438,-151.517647722796653 69.743177329065958,-151.52073384645152 69.763178496669653,-151.559242269940427 69.790991697917036,-151.574077986820072 69.820468433755465,-151.564384274263347 69.830244501150474,-151.536794764367983 69.835369075774253,-151.558309540858943 69.856197413879173,-151.546708251062057 69.871100341513426,-151.563198820219043 69.889907383451941,-151.568191692686725 69.917564910969716,-151.60799236690832 69.942577816436994,-151.607540045541242 69.962104409559743,-151.59079685296453 69.975561849602457,-151.618520465581355 69.996578178208054,-151.613185964993022 70.006457220498703,-151.495879304859358 69.985720751388371,-151.35661707401951 70.005868710381364,-151.301624951635631 69.9962605217586,-151.163464887225928 70.005252623336418,-150.944501539640271 70.059196114065429,-150.816515423767356 70.081355840880207,-150.69764205563942 70.081513273675185,-150.450315479803379 70.10350855501855,-150.267053927600898 70.152985884160842,-149.84560423246495 70.228178893004426,-149.756558213586601 70.232834691344337,-149.476371750951557 70.215272579326424,-149.312450685773001 70.184726270760947,-149.200324046019659 70.148723369444269)))",Lower Foothills,2915602.189830000046641,300381411926.000000000000000
"MULTIPOLYGON (((-151.091008683374497 70.447979636681254,-151.101888829354266 70.443227208825263,-151.114471296753521 70.445828232051966,-151.106022066649189 70.447232722448305,-151.091008683374497 70.447979636681254)),((-148.924967047063433 70.433372354539713,-148.924104431214204 70.431946276526048,-148.92594110569101 70.431902513288406,-148.926110330400263 70.433338137150429,-148.924967047063433 70.433372354539713)),((-149.686769443893496 70.501072178942422,-149.688900620967047 70.500775312777051,-149.68955041071797 70.501063348596119,-149.688357963206329 70.501484761735654,-149.686769443893496 70.501072178942422)),((-149.680006382730426 70.504626150833744,-149.685989719910481 70.503898809686419,-149.690019826393524 70.502471277496056,-149.68413519425394 70.504783647860776,-149.680006382730426 70.504626150833744)),((-149.176129580154594 70.492943276770063,-149.176263842349158 70.492657040481532,-149.181209611052907 70.493703970574998,-149.178259225534276 70.493868292651428,-149.176129580154594 70.492943276770063)),((-149.263998102642034 70.496106381797091,-149.260810747598839 70.49605254897682,-149.259638438382439 70.495678925141547,-149.266044448376903 70.496060008195769,-149.263998102642034 70.496106381797091)),((-149.427904084225844 70.498464793514671,-149.42184180412923 70.493062789676486,-149.489114137627638 70.479260310591357,-149.420184787010612 70.490953638258773,-149.365738396691768 70.490627641034337,-149.373859838176628 70.476460856963257,-149.361585622605674 70.478371883069443,-149.362969924721114 70.473308111937015,-149.350290669940676 70.470025430129894,-149.35767430584562 70.466390121237609,-149.348367726957093 70.458651626377886,-149.354185052187574 70.46697891954571,-149.347646615405665 70.470972301691972,-149.358495936200001 70.47400282979298,-149.351546905971702 70.478022280591077,-149.361247667300233 70.483931235018105,-149.327941963605525 70.488907457747501,-149.304951202446802 70.482290630824821,-149.347631372423223 70.49565973658801,-149.326730860142987 70.502968815985824,-149.290068156664887 70.489583628836357,-149.161049421545783 70.487833001706477,-149.132646704593924 70.472370397608572,-149.042825984339174 70.459418213422481,-148.996922645093377 70.436667260276351,-148.969829259139061 70.433017694185139,-148.958005483386444 70.421869212817555,-148.880581583926187 70.431683037836024,-148.899653739739335 70.425746674139702,-148.913409921807329 70.416907291063666,-148.904949734137148 70.415148441035612,-148.878318440743641 70.429693390780585,-148.898977624337135 70.406502545288376,-148.896065739652499 70.390914070266035,-148.959605390588592 70.361596009652075,-148.97651678653105 70.342109732937857,-148.958504705212221 70.3084115586,-148.964239870665182 70.281992627514782,-149.036160127873018 70.182079086372354,-149.116981511651289 70.126672473559353,-149.312450685773001 70.184726270760947,-149.476371750951557 70.215272579326424,-149.756558213586601 70.232834691344337,-149.84560423246495 70.228178893004426,-150.150443330272083 70.174950070575449,-150.267053927600898 70.152985884160842,-150.450315479803379 70.10350855501855,-150.69764205563942 70.081513273675185,-150.816515423767356 70.081355840880207,-150.944501539640271 70.059196114065429,-151.163464887225928 70.005252623336418,-151.301624951635631 69.9962605217586,-151.35661707401951 70.005868710381364,-151.495879304859358 69.985720751388371,-151.613185964993022 70.006457220498703,-151.544434628923852 70.03106206378429,-151.584973046742334 70.052785407878204,-151.548006392736198 70.086270927898013,-151.457426261968351 70.093681054653729,-151.418111535360794 70.089111821582819,-151.392650015346703 70.076498544020481,-151.378211279687577 70.049902270824248,-151.328829257354755 70.038464002893889,-151.26845865854304 70.040988764960417,-151.218208248640281 70.059924159234939,-151.168595918019577 70.051820551225603,-151.12379933973429 70.054732216995617,-151.079392099236657 70.07115801649509,-151.062714956741416 70.09068780683161,-150.977839287792165 70.096789774388839,-150.970244760764047 70.106841538553113,-151.021054187053352 70.120364668289454,-151.022116367420125 70.12657254137234,-150.9298160803163 70.155659018087292,-150.912095698104423 70.171596893116018,-150.844562908123152 70.198187948859029,-150.820683793267449 70.21582802221738,-150.825332227406108 70.227904836065676,-150.841947519557067 70.230799573575453,-150.869783294863282 70.222824504384135,-150.933701591843032 70.227421728087293,-150.983121028376019 70.218591000704563,-150.992509815329043 70.224223121377065,-150.984094044515814 70.238082819380082,-151.025546618676003 70.237741440946863,-151.028481388805091 70.25226739399281,-151.013637221635207 70.268337615363322,-151.008036629942239 70.289328217513813,-151.032961237225607 70.294720275337681,-151.028774691741063 70.312137357484531,-151.07800256367085 70.329625200686735,-151.071560085570809 70.366116859148548,-151.102254697406607 70.385238197868006,-151.098367861397435 70.409746407159901,-151.125657229527377 70.424608286194527,-151.177177815040153 70.43189118648155,-151.167277179410604 70.435535112131035,-150.961166720102824 70.450330494089428,-150.954612312040808 70.459789461643638,-150.908732774984571 70.464356451118817,-150.887322532008284 70.457426400659983,-150.834687604745397 70.460736962835654,-150.784901110211365 70.479697717827833,-150.77204911022568 70.477327461830853,-150.798773143595412 70.486843526660621,-150.770231892398215 70.498333922359691,-150.760585387811858 70.497363601036639,-150.773718758168087 70.494329732347822,-150.64257323185808 70.494801002408082,-150.557639231281286 70.502321198305665,-150.561045962136802 70.497134924737807,-150.357158857139211 70.493242368896261,-150.365720133411116 70.483845293002076,-150.192104897962196 70.435747303067174,-150.109357645996283 70.429505385987966,-149.897960269633785 70.498621683812033,-149.901378436861393 70.49365073958198,-149.89909386172485 70.492624886537314,-149.86427529434846 70.511002886889628,-149.819991297197419 70.492755797118093,-149.774880758203153 70.486908675875583,-149.760051393038594 70.497222811279045,-149.745662188161447 70.493665002698052,-149.720492813883993 70.505293687020071,-149.700345245077301 70.497735772526738,-149.684668744501693 70.498720349792094,-149.658376571888112 70.508958655943005,-149.569491602485073 70.495875644923842,-149.461989266074397 70.51661422551966,-149.427904084225844 70.498464793514671)))",Western Coastal,1309455.218060000101104,31473773780.500000000000000
